id	old_id	dataset	collection	patric_id	strain	file_id	bioproject	biosample	download_key	sra_accession	srr_accession	srr_accession_2	genbank_accession	genbank_ftppath	refseq_accession	refseq_ftppath	MY NOTES	year	country	region	animal	source_detail	source_bin	origin	phylogroup_ct	htype_ec	otype_ec	serotype_ec	serotype	mlst	phylogroup	esbl	esbl_ctxm	SIR_AMK	MIC_AMK	SIR_GEN	MIC_GEN	SIR_KAN	MIC_KAN	SIR_NMC	MIC_NMC	SIR_STR	MIC_STR	SIR_TBM	MIC_TBM	SIR_SPT	MIC_SPT	SIR_ETP	MIC_ETP	SIR_IMP	MIC_IMP	SIR_MER	MIC_MER	SIR_DOR	MIC_DOR	SIR_CET	MIC_CET	SIR_CPM	MIC_CPM	SIR_CRO	MIC_CRO	SIR_CTC	MIC_CTC	SIR_CTX	MIC_CTX	SIR_CTZ	MIC_CTZ	SIR_CXA	MIC_CXA	SIR_CXM	MIC_CXM	SIR_TIO	MIC_TIO	SIR_CFZ	MIC_CFZ	SIR_CFC	MIC_CFC	SIR_CZA	MIC_CZA	SIR_FOX	MIC_FOX	SIR_CTT	MIC_CTT	SIR_TMP	MIC_TMP	SIR_CIP	MIC_CIP	SIR_EFX	MIC_EFX	SIR_LVX	MIC_LVX	SIR_NOR	MIC_NOR	SIR_MXF	MIC_MXF	SIR_DEL	MIC_DEL	SIR_OFX	MIC_OFX	SIR_LCM	MIC_LCM	SIR_AZM	MIC_AZM	SIR_AZT	MIC_AZT	SIR_AMC	MIC_AMC	SIR_AMP	MIC_AMP	SIR_AMX	MIC_AMX	SIR_TZP	MIC_TZP	SIR_SAM	MIC_SAM	SIR_PIP	MIC_PIP	SIR_CHL	MIC_CHL	SIR_FFC	MIC_FFC	SIR_CST	MIC_CST	SIR_PMB	MIC_PMB	SIR_SOX	MIC_SOX	SIR_SMZ	MIC_SMZ	SIR_SXT	MIC_SXT	SIR_NAL	MIC_NAL	SIR_OTC	MIC_OTC	SIR_TET	MIC_TET	SIR_TGC	MIC_TGC	SIR_MIN	MIC_MIN	SIR_DOX	MIC_DOX	SIR_FOS	MIC_FOS	SIR_NIT	MIC_NIT	ZD_AMK	ZD_AMX	ZD_AMP	ZD_SAM	ZD_AZM	ZD_AZT	ZD_CFZ	ZD_CPM	ZD_CTX	ZD_CFC	ZD_CTT	ZD_FOX	ZD_CTZ	ZD_CZA	ZD_CTC	ZD_TIO	ZD_CRO	ZD_CXM	ZD_CXA	ZD_CET	ZD_CHL	ZD_CIP	ZD_AMC	ZD_CST	ZD_SXT	ZD_DEL	ZD_DOR	ZD_DOX	ZD_EFX	ZD_ETP	ZD_FFC	ZD_FOS	ZD_GEN	ZD_IMP	ZD_KAN	ZD_LVX	ZD_LCM	ZD_MER	ZD_MIN	ZD_MXF	ZD_NAL	ZD_NMC	ZD_NIT	ZD_NOR	ZD_OFX	ZD_OTC	ZD_PIP	ZD_TZP	ZD_PMB	ZD_SPT	ZD_STR	ZD_SMZ	ZD_SOX	ZD_TET	ZD_TGC	ZD_TBM	ZD_TMP
ERR1218547	ERR1218547	THAI	ENA			ERR1218547	PRJEB11403										thai	2015	Thailand							H20	-	-:H20								R								R												R								R		R				R														R		S																				S		R				S																																																																																												
ERR1218548	ERR1218548	THAI	ENA			ERR1218548	PRJEB11403										thai	2015	Thailand							H4	O5	O5:H4								R								R												R								R		S				R														R		S																				S		R				S																																																																																												
ERR1218549	ERR1218549	THAI	ENA			ERR1218549	PRJEB11403											2014-2015	Thailand				env_canal	env_canal		H8	O153	O153:H8		101		ESBL	CTX-M-14			R								S												R								R		S				R														S		S																				R		R				S																																																																																												
ERR1218550	ERR1218550	THAI	ENA			ERR1218550	PRJEB11403										thai	2015	Thailand							H8	O153	O153:H8								R								S												R								R		S				R														S		S																				R		R				S																																																																																												
ERR1218551	ERR1218551	THAI	ENA			ERR1218551	PRJEB11403											2014-2015	Thailand				env_canal	env_canal		H9	O117/O107	O117/O107:H9		58		ESBL	CTX-M-55			R								R												R								R		I				R														R		S																				R		R				S																																																																																												
ERR1218552	ERR1218552	THAI	ENA			ERR1218552	PRJEB11403											2014-2015	Thailand				env_canal	env_canal		H29	O162/O101	O162/O101:H29		206		ESBL	CTX-M-14			R								R												R								R		R				R														R		R																				R		R				S																																																																																												
ERR1218553	ERR1218553	THAI	ENA			ERR1218553	PRJEB11403											2014-2015	Thailand				env_canal	env_canal		H31	O153	O153:H31		641		ESBL	CTX-M-14			R								R												R								R		S				R														R		R																				S		R				S																																																																																												
ERR1218554	ERR1218554	THAI	ENA			ERR1218554	PRJEB11403											2014-2015	Thailand				env_canal	env_canal		H27	O107/O117	O107/O117:H27		10		ESBL	CTX-M-55			R								R												R								R		I				R														R		S																				S		R				S																																																																																												
ERR1218555	ERR1218555	THAI	ENA			ERR1218555	PRJEB11403										thai	2015	Thailand							H4	O9	O9:H4								R								R												R								R		R				R														R		R																				R		R				I																																																																																												
ERR1218556	ERR1218556	THAI	ENA			ERR1218556	PRJEB11403											2014-2015	Thailand				human_clinical	human		H10	O1	O1:H10		744		ESBL	CTX-M-55			R								R												R								R		R				R														R		R																				S		R				S																																																																																												
ERR1218557	ERR1218557	THAI	ENA			ERR1218557	PRJEB11403											2014-2015	Thailand				human_clinical	human		H5	O16	O16:H5		131		ESBL	CTX-M-27			R								R												R								R		I				R														R		S																				S		R				S																																																																																												
ERR1218558	ERR1218558	THAI	ENA			ERR1218558	PRJEB11403											2014-2015	Thailand				env_canal	env_canal		H4	O89	O89:H4		44		ESBL	CTX-M-15			S								S												R								R		R				R														R		R																				S		R				S																																																																																												
ERR1218559	ERR1218559	THAI	ENA			ERR1218559	PRJEB11403											2014-2015	Thailand				human_clinical	human		H38	-	-:H38		1602		ESBL	CTX-M-55			R								R												R								R		R				R														R		R																				S		R				S																																																																																												
ERR1218560	ERR1218560	THAI	ENA			ERR1218560	PRJEB11403											2014-2015	Thailand				human_clinical	human		H6	O102	O102:H6		405		ESBL	CTX-M-15			R								R												R								R		R				R														R		R																				R		R				S																																																																																												
ERR1218561	ERR1218561	THAI	ENA			ERR1218561	PRJEB11403											2014-2015	Thailand				env_canal	env_canal		H15	O23	O23:H15		3045		ESBL	CTX-M-15			S								S												R								R		R				R														S		S																				S		R				S																																																																																												
ERR1218562	ERR1218562	THAI	ENA			ERR1218562	PRJEB11403											2014-2015	Thailand				env_canal	env_canal		H11	O13/O135	O13/O135:H11		10		ESBL	CTX-M-55			R								R												R								R		R				R														S		S																				S		R				S																																																																																												
ERR1218563	ERR1218563	THAI	ENA			ERR1218563	PRJEB11403										thai	2015	Thailand							H9	O9	O9:H9								R								R												R								R		R				R														S		R																				R		R				R																																																																																												
ERR1218564	ERR1218564	THAI	ENA			ERR1218564	PRJEB11403											2014-2015	Thailand				env_farm			H9	O78	O78:H9		88		ESBL	CTX-M-55			R								R												R								R		I				R														R		R																				S		R				S																																																																																												
ERR1218581	ERR1218581	THAI	ENA			ERR1218581	PRJEB11403											2014-2015	Thailand				human_clinical	human		H25	O11	O11:H25		457		ESBL	CTX-M-55			R								R												R								R		R				R														R		R																				S		R				S																																																																																												
ERR1218582	ERR1218582	THAI	ENA			ERR1218582	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O25	O25:H4		131		ESBL	CTX-M-27			S								S												R								R		I				R														R		R																				S		R				S																																																																																												
ERR1218583	ERR1218583	THAI	ENA			ERR1218583	PRJEB11403											2014-2015	Thailand				human_clinical	human		H18	O15	O15:H18		69		ESBL	CTX-M-55			R								R												R								R		R				R														R		I																				R		R				S																																																																																												
ERR1218584	ERR1218584	THAI	ENA			ERR1218584	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O117/O107	O117/O107:H4		428		ESBL	None 			S								R												R								R		R				R														S		S																				S		R				S																																																																																												
ERR1218585	ERR1218585	THAI	ENA			ERR1218585	PRJEB11403											2014-2015	Thailand				human_clinical	human		H15	O1	O1:H15		38		ESBL	CTX-M-27			R								R												R								R		I				R														R		R																				S		R				S																																																																																												
ERR1218586	ERR1218586	THAI	ENA			ERR1218586	PRJEB11403											2014-2015	Thailand				human_clinical	human		H6	O102	O102:H6		405		ESBL	CTX-M-15			S								R												R								R		R				R														R		R																				R		R				R																																																																																												
ERR1218587	ERR1218587	THAI	ENA			ERR1218587	PRJEB11403											2014-2015	Thailand				human_clinical	human		H8	O112	O112:H8		75		ESBL	CTX-M-55			R								R												R								R		R				R														R		S																				R		R				S																																																																																												
ERR1218588	ERR1218588	THAI	ENA			ERR1218588	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O89	O89:H4		44		ESBL	CTX-M-55			S								S												R								R		R				R														R		R																				R		R				R																																																																																												
ERR1218589	ERR1218589	THAI	ENA			ERR1218589	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O25	O25:H4		131		ESBL	CTX-M-14			R								R												R								R		S				R														R		R																				R		R				S																																																																																												
ERR1218590	ERR1218590	THAI	ENA			ERR1218590	PRJEB11403											2014-2015	Thailand				human_clinical	human		H18	O15	O15:H18		69		ESBL	CTX-M-55			R								R												R								R		R				R														R		R																				R		R				S																																																																																												
ERR1218591	ERR1218591	THAI	ENA			ERR1218591	PRJEB11403											2014-2015	Thailand				human_clinical	human		H21	O146	O146:H21		442		ESBL	CTX-M-14			R								R												R								R		S				R														S		S																				S		R				S																																																																																												
ERR1218592	ERR1218592	THAI	ENA			ERR1218592	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O25	O25:H4		131		ESBL	CTX-M-14			R								I												R								R		S				R														S		R																				R		R				S																																																																																												
ERR1218593	ERR1218593	THAI	ENA			ERR1218593	PRJEB11403											2014-2015	Thailand				human_clinical	human		H25	O11	O11:H25		457		ESBL	CTX-M-55			R								R												R								R		R				R														R		I																				S		R				S																																																																																												
ERR1218594	ERR1218594	THAI	ENA			ERR1218594	PRJEB11403											2014-2015	Thailand				human_clinical	human		H6	O45	O45:H6		354		ESBL	CTX-M-24			R								R												R								R		S				R														R		R																				R		R				S																																																																																												
ERR1218595	ERR1218595	THAI	ENA			ERR1218595	PRJEB11403											2014-2015	Thailand				human_clinical	human		H18	O86	O86:H18		38		ESBL	CTX-M-27			R								I												R								R		I				R														R		S																				R		R				S																																																																																												
ERR1218596	ERR1218596	THAI	ENA			ERR1218596	PRJEB11403											2014-2015	Thailand				human_clinical	human		H7	O8	O8:H7		196		ESBL	CTX-M-55			R								R												R								R		R				R														S		I																				S		R				S																																																																																												
ERR1218597	ERR1218597	THAI	ENA			ERR1218597	PRJEB11403											2014-2015	Thailand				human_clinical	human		H15	O1	O1:H15		2003		ESBL	CTX-M-55			R								R												R								R		R				R														R		R																				R		R				S																																																																																												
ERR1218598	ERR1218598	THAI	ENA			ERR1218598	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O25	O25:H4		131		ESBL	CTX-M-15			S								S												R								R		R				R														S		R																				R		R				R																																																																																												
ERR1218599	ERR1218599	THAI	ENA			ERR1218599	PRJEB11403											2014-2015	Thailand				human_clinical	human		H25	O11	O11:H25		457		ESBL	CTX-M-55			R								R												R								R		I				R														R		R																				S		R				S																																																																																												
ERR1218600	ERR1218600	THAI	ENA			ERR1218600	PRJEB11403											2014-2015	Thailand				human_clinical	human		H6	O102	O102:H6		405		ESBL	CTX-M-15			S								R												R								R		R				R														R		R																				R		R				S																																																																																												
ERR1218601	ERR1218601	THAI	ENA			ERR1218601	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O25	O25:H4		131		ESBL	CTX-M-14			R								R												R								R		S				R														S		R																				R		R				S																																																																																												
ERR1218602	ERR1218602	THAI	ENA			ERR1218602	PRJEB11403											2014-2015	Thailand				human_clinical	human		H9	O9	O9:H9		2179		ESBL	CTX-M-55			R								R												R								R		R				R														S		R																				S		R				S																																																																																												
ERR1218603	ERR1218603	THAI	ENA			ERR1218603	PRJEB11403											2014-2015	Thailand				human_clinical	human		H9	O9/O104	O9/O104:H9		410		ESBL	CTX-M-55			S								S												R								R		I				R														R		R																				S		R				S																																																																																												
ERR1218604	ERR1218604	THAI	ENA			ERR1218604	PRJEB11403											2014-2015	Thailand				human_clinical	human		H18	O114	O114:H18		410		ESBL	CTX-M-55			R								R												R								R		R				R														S		R																				S		R				S																																																																																												
ERR1218605	ERR1218605	THAI	ENA			ERR1218605	PRJEB11403											2014-2015	Thailand				human_clinical	human		H6	O102	O102:H6		405		ESBL	CTX-M-15			R								R												R								R		R				R														R		R																				R		R				S																																																																																												
ERR1218606	ERR1218606	THAI	ENA			ERR1218606	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O25	O25:H4		131		ESBL	CTX-M-14			R								R												R								R		S				R														S		R																				R		R				S																																																																																												
ERR1218607	ERR1218607	THAI	ENA			ERR1218607	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O25	O25:H4		131		ESBL	CTX-M-14			R								R												R								R		I				R														R		R																				R		R				S																																																																																												
ERR1218608	ERR1218608	THAI	ENA			ERR1218608	PRJEB11403											2014-2015	Thailand				human_clinical	human		H15	O1	O1:H15		2003		ESBL	CTX-M-55			R								R												R								R		R				R														R		R																				S		R				S																																																																																												
ERR1218609	ERR1218609	THAI	ENA			ERR1218609	PRJEB11403											2014-2015	Thailand				human_clinical	human		H5	O16	O16:H5		131		ESBL	"CTX-M-27,CTX-M-55"			R								R												R								R		R				R														R		R																				R		R				R																																																																																												
ERR1218610	ERR1218610	THAI	ENA			ERR1218610	PRJEB11403											2014-2015	Thailand				human_clinical	human		H18	O114	O114:H18		410		ESBL	CTX-M-55			R								R												R								R		R				R														S		R																				S		R				S																																																																																												
ERR1218611	ERR1218611	THAI	ENA			ERR1218611	PRJEB11403											2014-2015	Thailand				human_clinical	human		H6	O102	O102:H6		405		ESBL	CTX-M-15			R								R												R								R		R				R														R		R																				R		R				S																																																																																												
ERR1218612	ERR1218612	THAI	ENA			ERR1218612	PRJEB11403											2014-2015	Thailand				human_clinical	human		H6	O102	O102:H6		405		ESBL	CTX-M-15			R								R												R								R		R				R														R		R																				R		R				R																																																																																												
ERR1218613	ERR1218613	THAI	ENA			ERR1218613	PRJEB11403											2014-2015	Thailand				human_clinical	human		H10	O7	O7:H10		5942		ESBL	CTX-M-55			R								R												R								R		I				R														R		R																				S		R				S																																																																																												
ERR1218614	ERR1218614	THAI	ENA			ERR1218614	PRJEB11403											2014-2015	Thailand				human_clinical	human		H18	O86	O86:H18		38		ESBL	"CTX-M-15,CTX-M-27"			S								S												R								R		R				R														R		S																				S		R				S																																																																																												
ERR1218615	ERR1218615	THAI	ENA			ERR1218615	PRJEB11403											2014-2015	Thailand				human_clinical	human		H7	O18	O18:H7		95		ESBL	CTX-M-55			R								I												R								R		R				R														S		S																				S		R				S																																																																																												
ERR1218616	ERR1218616	THAI	ENA			ERR1218616	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O25	O25:H4		131		ESBL	CTX-M-14			R								R												R								R		S				R														R		R																				R		R				S																																																																																												
ERR1218617	ERR1218617	THAI	ENA			ERR1218617	PRJEB11403											2014-2015	Thailand				human_clinical	human		H6	O153	O153:H6		648		ESBL	CTX-M-15			R								R												R								R		R				R														R		R																				R		R				S																																																																																												
ERR1218618	ERR1218618	THAI	ENA			ERR1218618	PRJEB11403											2014-2015	Thailand				human_clinical	human		H34	O153	O153:H34		354		ESBL	CTX-M-55			R								R												R								R		I				R														R		R																				S		R				S																																																																																												
ERR1218619	ERR1218619	THAI	ENA			ERR1218619	PRJEB11403											2014-2015	Thailand				human_clinical	human		H8	O175	O175:H8		2186		ESBL	CTX-M-14			R								R												R								R		S				R														S		I																				R		R				S																																																																																												
ERR1218620	ERR1218620	THAI	ENA			ERR1218620	PRJEB11403											2014-2015	Thailand				human_clinical	human		H25	O11	O11:H25		457		ESBL	CTX-M-55			R								R												R								R		I				R														R		R																				S		R				S																																																																																												
ERR1218621	ERR1218621	THAI	ENA			ERR1218621	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O89	O89:H4		44		ESBL	CTX-M-15			R								R												R								R		R				R														R		R																				R		R				S																																																																																												
ERR1218622	ERR1218622	THAI	ENA			ERR1218622	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O25	O25:H4		131		ESBL	CTX-M-14			R								R												R								R		S				R														R		R																				S		R				S																																																																																												
ERR1218623	ERR1218623	THAI	ENA			ERR1218623	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O25	O25:H4		131		ESBL	CTX-M-27			S								S												R								R		R				R														S		R																				S		R				S																																																																																												
ERR1218624	ERR1218624	THAI	ENA			ERR1218624	PRJEB11403											2014-2015	Thailand				human_clinical	human		H5	O16	O16:H5		131		ESBL	CTX-M-27			R								R												R								R		I				R														R		S																				S		R				S																																																																																												
ERR1218625	ERR1218625	THAI	ENA			ERR1218625	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O25	O25:H4		131		ESBL	CTX-M-27			S								S												R								R		I				R														S		R																				S		R				S																																																																																												
ERR1218626	ERR1218626	THAI	ENA			ERR1218626	PRJEB11403											2014-2015	Thailand				human_clinical	human		H9	O9	O9:H9		10		ESBL	CTX-M-15			S								S												R								R		R				R														R		R																				S		R				S																																																																																												
ERR1218627	ERR1218627	THAI	ENA			ERR1218627	PRJEB11403											2014-2015	Thailand				human_clinical	human		H9	O8	O8:H9		410		ESBL	CTX-M-15			R								R												R								R		R				R														S		R																				R		R				R																																																																																												
ERR1218628	ERR1218628	THAI	ENA			ERR1218628	PRJEB11403											2014-2015	Thailand				human_clinical	human		H5	O16	O16:H5		131		ESBL	CTX-M-27			S								S												R								R		I				R														S		S																				S		R				S																																																																																												
ERR1218629	ERR1218629	THAI	ENA			ERR1218629	PRJEB11403											2014-2015	Thailand				human_clinical	human		H5	O75	O75:H5		1193		ESBL	CTX-M-15			R								R												R								R		R				R														R		R																				S		R				S																																																																																												
ERR1218630	ERR1218630	THAI	ENA			ERR1218630	PRJEB11403											2014-2015	Thailand				human_clinical	human		H9	-	-:H9		410		ESBL	CTX-M-15			R								R												R								R		R				R														S		R																				R		R				S																																																																																												
ERR1218631	ERR1218631	THAI	ENA			ERR1218631	PRJEB11403											2014-2015	Thailand				human_clinical	human		H7	O1	O1:H7		421		ESBL	CTX-M-27			R								S												R								R		I				R														R		S																				S		R				S																																																																																												
ERR1218632	ERR1218632	THAI	ENA			ERR1218632	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O25	O25:H4		131		ESBL	CTX-M-14			R								R												R								R		S				R														R		R																				S		R				S																																																																																												
ERR1218633	ERR1218633	THAI	ENA			ERR1218633	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O25	O25:H4		131		ESBL	CTX-M-14			R								R												R								R		S				R														R		R																				R		R				S																																																																																												
ERR1218634	ERR1218634	THAI	ENA			ERR1218634	PRJEB11403											2014-2015	Thailand				human_clinical	human		H6	O1	O1:H6		648		ESBL	CTX-M-14			R								R												R								R		I				R														R		R																				R		R				S																																																																																												
ERR1218635	ERR1218635	THAI	ENA			ERR1218635	PRJEB11403											2014-2015	Thailand				human_clinical	human		H15	O1	O1:H15		2003		ESBL	CTX-M-55			R								R												R								R		R				R														R		R																				S		R				S																																																																																												
ERR1218636	ERR1218636	THAI	ENA			ERR1218636	PRJEB11403											2014-2015	Thailand				human_clinical	human		H25	O11	O11:H25		457		ESBL	CTX-M-55			R								R												R								R		I				R														S		R																				R		R				S																																																																																												
ERR1218637	ERR1218637	THAI	ENA			ERR1218637	PRJEB11403											2014-2015	Thailand				human_clinical	human		H4	O25	O25:H4		131		ESBL	CTX-M-27			S								S												R								R		I				R														R		R																				S		R				S																																																																																												
ERR1218639	ERR1218639	THAI	ENA			ERR1218639	PRJEB11403											2014-2015	Thailand				human_clinical	human		H25	O11	O11:H25		457		ESBL	CTX-M-55			R								R												R								R		R				R														R		S																				S		R				S																																																																																												
ERR1218640	ERR1218640	THAI	ENA			ERR1218640	PRJEB11403											2014-2015	Thailand				human_clinical	human		H31	O6	O6:H31		127		ESBL	CTX-M-55			R								R												R								R		R				R														S		S																				S		R				S																																																																																												
ERR1218641	ERR1218641	THAI	ENA			ERR1218641	PRJEB11403											2014-2015	Thailand				human_clinical	human		H9	-	-:H9		10		ESBL	CTX-M-55			R								R												R								R		R				R														S		S																				R		R				S																																																																																												
ERR1218642	ERR1218642	THAI	ENA			ERR1218642	PRJEB11403											2014-2015	Thailand				env_canal	env_canal		H20	-	-:H20		542		ESBL	CTX-M-55			R								R												R								R		R				R														R		S																				S		R				S																																																																																												
ERR1218643	ERR1218643	THAI	ENA			ERR1218643	PRJEB11403											2014-2015	Thailand				env_canal	env_canal		H4	O9	O9:H4		6624		ESBL	CTX-M-14			R								R												R								R		S				R														S		I																				R		R				S																																																																																												
ERR1218644	ERR1218644	THAI	ENA			ERR1218644	PRJEB11403											2014-2015	Thailand				env_canal	env_canal		H11	O89	O89:H11		5943		ESBL	CTX-M-14			S								S												R								R		S				R														R		R																				S		R				S																																																																																												
ERR1218645	ERR1218645	THAI	ENA			ERR1218645	PRJEB11403										thai	2015	Thailand							H11	O89	O89:H11								S								S												R								R		S				R														R		R																				S		R				S																																																																																												
ERR1218646	ERR1218646	THAI	ENA			ERR1218646	PRJEB11403											2014-2015	Thailand				env_canal	env_canal		H15	O1	O1:H15		2003		ESBL	CTX-M-55			R								R												R								R		R				R														R		R																				S		R				S																																																																																												
ERR1218647	ERR1218647	THAI	ENA			ERR1218647	PRJEB11403										thai	2015	Thailand							H15	O1	O1:H15								R								R												R								R		R				R														R		R																				S		R				S																																																																																												
ERR1218648	ERR1218648	THAI	ENA			ERR1218648	PRJEB11403											2014-2015	Thailand				env_canal	env_canal		H12	-	-:H12		218		ESBL	CTX-M-14			R								R												R								R		S				R														S		S																				S		R				S																																																																																												
